,Male Fitness,Female Fitness,Best Fitness,Mean Expect,Best Expect
0,495.9,494.80000000000007,603.0,0.44648437499999993,0.5224609375
1,501.3403543038115,501.4529452343148,627.5,0.4036945238037699,0.37119140625
2,526.1641832133383,525.1349274454899,649.3,0.3418003625048642,0.3607421875
3,548.4724093926096,545.4401249885121,653.4,0.31221468647795114,0.34697265625
4,569.7853267923523,566.171219940625,666.9,0.3138938153662393,0.26787109375
5,584.3084766758382,585.0706285348058,678.0,0.29485072156485215,0.2693359375
6,601.1020700850875,601.04988713953,688.0,0.28377455217615166,0.20849609375
7,614.336784478856,613.2105187863059,703.4,0.27071797752629456,0.27646484375
8,630.1670549020461,628.8035123042408,709.5,0.25455536567546894,0.278125
9,639.6998736665067,641.1413846287636,716.5,0.24134978006096847,0.27822265625
10,654.4553929605341,650.5773752690816,719.5,0.2371285716202265,0.18583984375
11,659.5049999672817,662.4428046361979,727.4,0.22434774284002917,0.16845703125
12,672.3565210453411,673.0969738120197,740.1,0.22294927913372925,0.21279296875
13,678.9388995199513,679.40743507804,746.8,0.20174237161029346,0.1474609375
14,682.768275907626,676.5535788887626,750.8,0.19776230940722433,0.18603515625
15,688.4076292347797,693.1265587118562,761.0,0.18423020052779462,0.24677734375
16,700.0464725115447,690.5513986849762,764.2,0.19075610290058007,0.21083984375
17,696.6027366239781,692.6454890783104,767.4,0.18332887222891386,0.18486328125
18,691.4033474642175,694.8739210310707,773.1,0.18441756512433663,0.15068359375
19,697.6343691432199,704.6648305925241,776.7,0.18733294844775641,0.16767578125
20,703.917772146078,694.2131128043268,782.0,0.1871999565474588,0.18701171875
21,709.4264785674919,720.8289664780029,785.5,0.18050864695210297,0.17197265625
22,703.7124211684982,728.563621031746,784.4,0.18044464254452122,0.1888671875
23,729.3857620297401,727.26586920729,796.7,0.18701453464066012,0.25087890625
24,721.3088338721724,724.8016985227105,799.9,0.18618680489467027,0.28037109375
25,723.1107109969191,723.2575464705908,804.9,0.1931723676824348,0.26103515625
26,742.7372712172297,736.0863810860585,804.1,0.19875668171371158,0.22607421875
27,741.3818840592133,741.7782580390456,805.5,0.18638645652087527,0.14111328125
28,748.0228571820085,739.068584064751,807.9,0.19009604035147146,0.12236328125
29,720.7437244019512,730.1807517387584,810.5,0.1850009825338696,0.1884765625
30,753.3269763872889,739.2973522262635,813.7,0.18920924631360053,0.1765625
31,751.3983965227278,753.0918038989789,817.8,0.1899567005450784,0.16875
32,743.5176934797659,740.5535209433313,821.0,0.17787572543781405,0.1130859375
33,760.704805057158,753.7399947292396,824.3,0.17318593857724146,0.118359375
34,761.459750387185,738.3946066377757,830.0,0.18117445856127531,0.1064453125
35,756.0538564366776,752.6313059610526,833.8,0.17147599358533308,0.1306640625
36,762.9535135526095,761.1980968294145,833.9,0.17532508585124987,0.11484375
37,755.031236239295,767.6005694748735,835.9,0.17181577151448396,0.13828125
38,769.2372226238783,766.7182075287706,836.8,0.17385974586063263,0.13203125
39,768.8988392804603,761.993230306231,837.2,0.1620228541528179,0.12109375
40,772.4935857374828,749.9266566729068,838.2,0.15542407312799217,0.11328125
41,760.8651053086692,763.5562873826193,838.8,0.15865528762019693,0.12890625
42,756.0623293937007,771.0777330327309,839.1,0.15317567448092678,0.1357421875
43,781.2772040658829,764.5240393453207,839.7,0.15087400436715898,0.1560546875
44,785.0107257315407,762.2368963122724,839.7,0.1442073295740017,0.1400390625
45,761.887826610044,775.3567260758556,842.6,0.14638909914794476,0.1234375
46,782.2568737897685,773.4747540591504,842.8,0.13371070436247248,0.097265625
47,742.6914758033356,787.96267007429,842.4,0.13564571902843314,0.1009765625
48,753.8715183981514,784.1704454672806,843.8,0.1312987593271258,0.13203125
49,781.900188305571,768.4648541517962,845.4,0.1351414256810407,0.0951171875
50,770.7420701262806,756.6028843884108,847.2,0.13164383092928048,0.097265625
51,786.4286867064442,789.9174899025323,849.3,0.136740835244624,0.116015625
52,778.9027002895753,768.3445612380556,849.5,0.1358136736204631,0.10283203125
53,754.7179758367789,787.2609343518174,846.9,0.14235853728477896,0.10595703125
54,781.92879708091,781.6660620755404,849.6,0.1374609891325172,0.11591796875
55,776.1651854790014,773.6149745660543,849.6,0.13221372427156736,0.11591796875
56,780.4704825786152,782.6721371962726,849.8,0.13841714936400273,0.11865234375
57,787.8484445803892,757.3367094598888,850.1,0.1413980783337811,0.1154296875
58,774.0431803602344,767.3861775181721,849.4,0.13738672964183124,0.140625
59,789.0812674773579,792.28685642614,850.0,0.13947325931834892,0.1494140625
60,787.6554911955438,769.0866606158919,850.3,0.14824224312184883,0.1478515625
61,783.7907355641876,799.7564003477129,850.4,0.14503154425509993,0.1509765625
62,753.6699053836264,742.8019992060015,850.1,0.14401310749482044,0.1326171875
63,764.4889182137788,798.5707689597019,850.4,0.1554646714827379,0.1486328125
64,777.99124380775,779.681013932785,851.0,0.15075463175290996,0.1193359375
65,779.0169260162634,798.9656203892326,852.1,0.15085034009202644,0.1134765625
66,788.907191444792,774.2083110594953,852.9,0.1478767220654042,0.09765625
67,793.5228849418556,790.2760841069096,853.5,0.16009018570540334,0.1515625
68,805.2139909525291,798.6004800527478,852.5,0.15907973754827526,0.1673828125
69,789.3779923518936,798.2945360307415,852.4,0.15955047821435026,0.1048828125
70,768.718338935124,762.9902092528679,854.1,0.1515692242998244,0.20625
71,794.9561015732843,795.455198972634,852.6,0.15609641823262077,0.1361328125
72,812.034920208776,812.2618420650986,852.6,0.1535103340880841,0.13125
73,788.227613918312,793.5055880848528,852.6,0.15082549223479794,0.1
