,Mean Fitness,Best Fitness,Best Mate_prob,Best Mutate_prob,Best Threshold
0,-304939060.6022258,-155855885.73222423,0.3125,0.30078125,0.68359375
1,-234863249.71432522,-94441091.90504575,0.875,0.99609375,0.58984375
2,-340539859.5827222,-225955940.23054028,0.82421875,0.8828125,0.625
3,-429480387.4157026,-429480387.4157026,0.5859375,0.56640625,0.17578125
4,-429480387.4157026,-429480387.4157026,0.5859375,0.56640625,0.17578125
5,-530453976.0459211,-530453976.0459211,0.5234375,0.58203125,0.67578125
6,-465775926.57807136,-465775926.57807136,0.6328125,0.58203125,0.67578125
7,-465775926.57807136,-465775926.57807136,0.6328125,0.58203125,0.67578125
8,-465775926.57807136,-465775926.57807136,0.6328125,0.58203125,0.67578125
9,-366743564.65170646,-366743564.65170646,0.7265625,0.58203125,0.92578125
10,-366743564.65170646,-366743564.65170646,0.7265625,0.58203125,0.92578125
11,-405775885.8182218,-405775885.8182218,0.6953125,0.52734375,0.92578125
12,-405775885.8182218,-405775885.8182218,0.6953125,0.52734375,0.92578125
13,-358450016.03611016,-358450016.03611016,0.7109375,0.52734375,0.91015625
14,-358450016.03611016,-358450016.03611016,0.7109375,0.52734375,0.91015625
15,-358450016.03611016,-358450016.03611016,0.7109375,0.52734375,0.91015625
16,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
17,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
18,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
19,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
20,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
21,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
22,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
23,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
24,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
25,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
26,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
27,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
28,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
29,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
30,-287066279.28066397,-287066279.28066397,0.2109375,0.02734375,0.91015625
31,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
32,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
33,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
34,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
35,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
36,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
37,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
38,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
39,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
40,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
41,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
42,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
43,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
44,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
45,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
46,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
47,-245772778.98471975,-245772778.98471975,0.4609375,0.08984375,0.91015625
48,-310358184.94279885,-310358184.94279885,0.453125,0.33984375,0.98046875
49,-402916770.2548852,-402916770.2548852,0.453125,0.33984375,0.98046875
50,-360750842.68893623,-360750842.68893623,0.203125,0.33984375,0.96875
51,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
52,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
53,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
54,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
55,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
56,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
57,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
58,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
59,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
60,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
61,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
62,-402074045.623863,-402074045.623863,0.109375,0.33984375,0.96875
63,-336117248.68355536,-336117248.68355536,0.09375,0.33984375,0.96875
64,-336117248.68355536,-336117248.68355536,0.09375,0.33984375,0.96875
65,-336117248.68355536,-336117248.68355536,0.09375,0.33984375,0.96875
66,-402914907.6826682,-402914907.6826682,0.09375,0.33203125,0.96875
67,-343918057.20827246,-343918057.20827246,0.09375,0.32421875,0.6640625
68,-282057638.05950904,-282057638.05950904,0.03515625,0.32421875,0.6640625
69,-282057638.05950904,-282057638.05950904,0.03515625,0.32421875,0.6640625
70,-282057638.05950904,-282057638.05950904,0.03515625,0.32421875,0.6640625
71,-252098401.51236916,-252098401.51236916,0.03515625,0.32421875,0.6640625
72,-252098401.51236916,-252098401.51236916,0.03515625,0.32421875,0.6640625
73,-369346119.88938713,-369346119.88938713,0.53515625,0.31640625,0.6328125
