,Male Fitness,Female Fitness,Best Fitness,Mean Expect
128,463.6,467.05,472.0,0.375
129,435.4,460.9,472.0,0.378125
130,470.05,457.5,472.0,0.375
131,437.3,471.9,472.0,0.378125
132,459.45,464.25,472.0,0.38125
133,470.8,456.65,472.0,0.396875
134,468.95,468.65,477.0,0.38125
135,467.05,472.0,477.0,0.3875
136,437.9,472.0,477.0,0.3974358974358974
137,469.2,429.05263157894734,477.0,0.41346153846153844
138,436.95,408.63157894736844,477.0,0.41025641025641024
139,375.4,465.05555555555554,477.0,0.4144736842105263
140,351.9,426.6470588235294,477.0,0.4222972972972973
141,404.35,429.6666666666667,477.0,0.41776315789473684
142,465.9,437.55555555555554,477.0,0.40131578947368424
143,461.7,395.5,477.0,0.41776315789473684
144,430.9,465.29411764705884,477.0,0.4222972972972973
145,415.05,432.4117647058824,477.0,0.42567567567567566
146,433.85,463.8235294117647,473.0,0.4222972972972973
147,467.95,431.44444444444446,473.0,0.40789473684210525
148,434.5,459.2352941176471,473.0,0.4155405405405405
149,463.7,459.3529411764706,473.0,0.40202702702702703
150,463.5,459.2352941176471,473.0,0.41216216216216217
151,458.05,463.2352941176471,473.0,0.4222972972972973
152,351.85,402.3333333333333,473.0,0.4144736842105263
153,433.05,456.3333333333333,473.0,0.42105263157894735
154,471.8,470.94444444444446,473.0,0.40789473684210525
155,467.3,467.05555555555554,473.0,0.40131578947368424
156,457.95,463.4736842105263,473.0,0.375
157,433.9,436.3,473.0,0.3875
158,462.45,465.5,473.0,0.390625
159,469.8,412.6,473.0,0.371875
160,466.1,407.9,473.0,0.371875
161,461.65,437.05,473.0,0.378125
162,422.9,464.6,473.0,0.39375
163,470.9,457.1,473.0,0.375
164,454.05,459.9,473.0,0.384375
165,471.75,409.85,473.0,0.378125
166,468.8,472.1,473.0,0.378125
167,434.05,473.0,473.0,0.378125
168,467.35,463.8,473.0,0.375
169,461.3,465.95,473.0,0.384375
170,437.3,470.35,473.0,0.378125
171,438.8,465.25,473.0,0.38125
172,439.45,467.55,473.0,0.375
173,466.05,442.75,473.0,0.36875
174,459.1,468.95,473.0,0.396875
175,464.55,470.05,473.0,0.38125
176,460.1,465.7,473.0,0.384375
177,465.4,436.55,473.0,0.384375
178,457.15,462.7,473.0,0.396875
179,473.0,469.5,473.0,0.38125
180,472.85,436.05,473.0,0.3625
181,462.35,462.4,473.0,0.35625
182,410.0,465.3,473.0,0.359375
183,469.6,439.75,473.0,0.340625
184,464.95,461.65,473.0,0.34375
185,468.0,413.05,473.0,0.346875
186,401.85,457.9,473.0,0.35625
187,438.8,384.6,473.0,0.36875
188,469.6,439.5,473.0,0.346875
189,432.65,442.1,473.0,0.359375
190,462.2,440.8,473.0,0.359375
191,463.85,470.25,473.0,0.35625
192,437.85,464.5,473.0,0.359375
193,462.35,463.45,473.0,0.340625
194,456.7,439.3,473.0,0.378125
195,439.3,465.8,473.0,0.378125
196,457.15,456.95,473.0,0.378125
197,461.05,470.9,473.0,0.371875
198,468.75,466.05,473.0,0.378125
199,437.2,466.25,473.0,0.38125
200,468.8,464.3,473.0,0.378125
