,Mean Fitness,Best Fitness
0,-318896005.9005405,-145302605.32081628
1,-212535869.2611627,-132616360.36507511
2,-169659434.0024109,-51814466.51131892
3,-145733610.29823628,-51814466.51131892
4,-123062545.49710774,-51814466.51131892
5,-95014651.09956414,-51814466.51131892
6,-76729897.33161294,-51814466.51131892
7,-63496465.41707796,-51814466.51131892
8,-54544257.25870091,-51814466.51131892
9,-51791966.2683748,-50321813.05866146
10,-50566210.501289845,-31858723.414954185
11,-47637759.37229246,-26049808.721426964
12,-42705399.65376097,-26049808.721426964
13,-38861911.823235214,-26049808.721426964
14,-33875251.93412846,-25703074.6799078
15,-27740473.023257256,-25703074.6799078
16,-38209825.11296177,-25703074.6799078
17,-27397475.637309074,-25703074.6799078
18,-25911115.104819298,-25703074.6799078
19,-25807094.89236355,-25703074.6799078
20,-25703074.6799078,-25703074.6799078
21,-25703074.6799078,-25703074.6799078
22,-25703074.6799078,-25703074.6799078
23,-25355022.878862143,-23962815.674679518
24,-24710367.759174824,-21322049.30301571
25,-24004803.256619155,-21322049.30301571
26,-23722189.858813643,-21322049.30301571
27,-23566700.718929946,-21322049.30301571
28,-23038547.444597185,-21322049.30301571
29,-22081273.59994811,-20913614.490927696
30,-21260232.698536336,-20913614.490927696
31,-20984471.218643963,-16875366.808591127
32,-20959659.84606123,-16875366.808591127
33,-20659833.383576512,-16875366.808591127
34,-19903927.886698067,-15899246.178664207
35,-18887688.483057857,-15899246.178664207
36,-17223098.678308606,-13929926.103590965
37,-16025718.868852139,-13929926.103590965
38,-15441564.891906977,-13929926.103590965
39,-14935785.72057587,-13701489.590453148
40,-14415239.032482386,-13648053.791502953
41,-13952660.13385737,-13648053.791502953
42,-13763133.7024647,-13648053.791502953
43,-17159447.77446741,-13648053.791502953
44,-13654654.871217072,-13648053.791502953
45,-13648053.791502953,-13648053.791502953
46,-13648053.791502953,-13648053.791502953
47,-13648053.791502953,-13648053.791502953
48,-17956806.647435248,-11496660.012892723
49,-13342070.42389965,-11496660.012892723
50,-13036087.056296349,-11496660.012892723
51,-12567756.693899155,-11496660.012892723
52,-11959653.532998085,-11496660.012892723
53,-11615056.612387657,-11496660.012892723
54,-11513385.712080956,-11496660.012892723
55,-11496660.012892723,-11496660.012892723
56,-11496660.012892723,-11496660.012892723
57,-11874124.140184402,-11496660.012892723
58,-11496660.012892723,-11496660.012892723
59,-11496660.012892723,-11496660.012892723
60,-11496660.012892723,-11496660.012892723
61,-11496660.012892723,-11496660.012892723
62,-11496660.012892723,-11496660.012892723
63,-11496660.012892723,-11496660.012892723
64,-16170015.942968369,-11496660.012892723
65,-11496660.012892723,-11496660.012892723
66,-14410348.600969315,-11496660.012892723
67,-11496660.012892723,-11496660.012892723
68,-11496660.012892723,-11496660.012892723
69,-11496660.012892723,-11496660.012892723
70,-11496660.012892723,-11496660.012892723
71,-11496660.012892723,-11496660.012892723
