,Mean Fitness,Best Fitness
151,-11496660.012892723,-11496660.012892723
152,-11719264.144693375,-11496660.012892723
153,-11496660.012892723,-11496660.012892723
154,-11496660.012892723,-11496660.012892723
155,-11496660.012892723,-11496660.012892723
156,-11496660.012892723,-11496660.012892723
157,-11496660.012892723,-11496660.012892723
158,-11496660.012892723,-11496660.012892723
159,-11496660.012892723,-11496660.012892723
160,-11496660.012892723,-11496660.012892723
161,-11496660.012892723,-11496660.012892723
162,-11496660.012892723,-11496660.012892723
163,-11496660.012892723,-11496660.012892723
164,-16742427.02561766,-11496660.012892723
165,-11565150.501991928,-11496660.012892723
166,-14508324.951850235,-11496660.012892723
167,-11496660.012892723,-11496660.012892723
168,-11496660.012892723,-11496660.012892723
169,-11496660.012892723,-11496660.012892723
170,-11496660.012892723,-11496660.012892723
171,-12349146.035147369,-11496660.012892723
172,-11496660.012892723,-11496660.012892723
173,-11496660.012892723,-11496660.012892723
174,-11496660.012892723,-11496660.012892723
175,-11496660.012892723,-11496660.012892723
176,-11496660.012892723,-11496660.012892723
177,-11496660.012892723,-11496660.012892723
178,-11496660.012892723,-11496660.012892723
179,-11496660.012892723,-11496660.012892723
180,-11439493.738102973,-11115551.514294386
181,-11371603.124532461,-10138847.741482496
182,-11235646.35139513,-10138847.741482496
183,-10985009.493764758,-9417545.098647118
184,-10370947.829663217,-7120113.59841609
185,-9680393.960012794,-7120113.59841609
186,-8098868.611462951,-5306658.104145765
187,-7425143.150159836,-5306658.104145765
188,-6516801.5873734355,-5189280.814436913
189,-5948031.181007326,-5189280.814436913
190,-5460547.6491600275,-5071540.175678968
191,-8109656.3640450835,-5071540.175678968
192,-10385666.65328914,-5071540.175678968
193,-5206778.403178513,-5071540.175678968
194,-6891261.200135231,-5071540.175678968
195,-5142148.224028826,-5071540.175678968
196,-5089201.27149266,-5071540.175678968
197,-5071540.175678968,-5071540.175678968
198,-5071540.175678968,-5071540.175678968
199,-5071540.175678968,-5071540.175678968
200,-5071540.175678968,-5071540.175678968
201,-5071540.175678968,-5071540.175678968
202,-5071540.175678968,-5071540.175678968
203,-5071540.175678968,-5071540.175678968
204,-5071540.175678968,-5071540.175678968
205,-11212651.32777381,-5071540.175678968
206,-5071540.175678968,-5071540.175678968
207,-5071540.175678968,-5071540.175678968
208,-5071540.175678968,-5071540.175678968
209,-5071540.175678968,-5071540.175678968
210,-5071540.175678968,-5071540.175678968
211,-5071540.175678968,-5071540.175678968
212,-5071540.175678968,-5071540.175678968
213,-5636723.4747591615,-5071540.175678968
214,-5071540.175678968,-5071540.175678968
215,-5071540.175678968,-5071540.175678968
216,-5071540.175678968,-5071540.175678968
217,-5071540.175678968,-5071540.175678968
218,-5071540.175678968,-5071540.175678968
219,-5071540.175678968,-5071540.175678968
220,-5071540.175678968,-5071540.175678968
221,-7661127.111282766,-5071540.175678968
222,-5071540.175678968,-5071540.175678968
223,-5071540.175678968,-5071540.175678968
224,-5071540.175678968,-5071540.175678968
225,-5071540.175678968,-5071540.175678968
226,-5071540.175678968,-5071540.175678968
227,-5071540.175678968,-5071540.175678968
228,-5071540.175678968,-5071540.175678968
229,-5071540.175678968,-5071540.175678968
230,-5071540.175678968,-5071540.175678968
231,-5071540.175678968,-5071540.175678968
232,-5071540.175678968,-5071540.175678968
233,-5071540.175678968,-5071540.175678968
234,-5071540.175678968,-5071540.175678968
235,-5143213.443635404,-5071540.175678968
236,-5071540.175678968,-5071540.175678968
237,-5071540.175678968,-5071540.175678968
238,-5071540.175678968,-5071540.175678968
239,-5071540.175678968,-5071540.175678968
240,-5071540.175678968,-5071540.175678968
241,-5071540.175678968,-5071540.175678968
242,-5071540.175678968,-5071540.175678968
243,-5071540.175678968,-5071540.175678968
244,-5071540.175678968,-5071540.175678968
245,-5071540.175678968,-5071540.175678968
246,-5071540.175678968,-5071540.175678968
247,-5071540.175678968,-5071540.175678968
248,-5071540.175678968,-5071540.175678968
249,-5071540.175678968,-5071540.175678968
250,-6524785.444593489,-5071540.175678968
251,-5071540.175678968,-5071540.175678968
252,-5071540.175678968,-5071540.175678968
253,-5071540.175678968,-5071540.175678968
254,-5071540.175678968,-5071540.175678968
255,-9114526.192147017,-5071540.175678968
256,-5071540.175678968,-5071540.175678968
257,-5071540.175678968,-5071540.175678968
258,-4968363.791646361,-4039776.3353528976
259,-4900231.407638907,-3708892.49552989
260,-4821140.330904067,-3708892.49552989
261,-4421364.511104643,-2380574.6651961803
262,-3963517.399323523,-2380574.6651961803
263,-3236464.15316236,-2143463.2817389965
264,-2594258.047197342,-2143463.2817389965
265,-2423163.6350180507,-2143463.2817389965
266,-2339532.4411166906,-2143463.2817389965
267,-2318669.568055153,-2143463.2817389965
268,-2218129.0084047914,-2143463.2817389965
269,-3904444.740935743,-2143463.2817389965
270,-2143463.2817389965,-2143463.2817389965
271,-2143463.2817389965,-2143463.2817389965
272,-2143463.2817389965,-2143463.2817389965
273,-2143463.2817389965,-2143463.2817389965
274,-2143463.2817389965,-2143463.2817389965
275,-6320090.239192367,-2143463.2817389965
276,-2143463.2817389965,-2143463.2817389965
277,-2143463.2817389965,-2143463.2817389965
278,-2143463.2817389965,-2143463.2817389965
279,-2143463.2817389965,-2143463.2817389965
280,-2143463.2817389965,-2143463.2817389965
281,-2143463.2817389965,-2143463.2817389965
282,-2143463.2817389965,-2143463.2817389965
283,-2143463.2817389965,-2143463.2817389965
284,-2143463.2817389965,-2143463.2817389965
285,-2143463.2817389965,-2143463.2817389965
286,-2143463.2817389965,-2143463.2817389965
287,-2143463.2817389965,-2143463.2817389965
288,-2143463.2817389965,-2143463.2817389965
289,-2143463.2817389965,-2143463.2817389965
290,-2143463.2817389965,-2143463.2817389965
291,-2143463.2817389965,-2143463.2817389965
292,-2143463.2817389965,-2143463.2817389965
293,-2143463.2817389965,-2143463.2817389965
294,-2143463.2817389965,-2143463.2817389965
295,-2143463.2817389965,-2143463.2817389965
296,-2143463.2817389965,-2143463.2817389965
297,-2143463.2817389965,-2143463.2817389965
298,-2143463.2817389965,-2143463.2817389965
299,-6127058.798835814,-2143463.2817389965
300,-2143463.2817389965,-2143463.2817389965
301,-2143463.2817389965,-2143463.2817389965
302,-2143463.2817389965,-2143463.2817389965
303,-2143463.2817389965,-2143463.2817389965
304,-2143463.2817389965,-2143463.2817389965
305,-2143463.2817389965,-2143463.2817389965
306,-2143463.2817389965,-2143463.2817389965
307,-2143463.2817389965,-2143463.2817389965
308,-2143463.2817389965,-2143463.2817389965
309,-2143463.2817389965,-2143463.2817389965
310,-2143463.2817389965,-2143463.2817389965
311,-2143463.2817389965,-2143463.2817389965
312,-2143463.2817389965,-2143463.2817389965
313,-2143463.2817389965,-2143463.2817389965
314,-2143463.2817389965,-2143463.2817389965
315,-2143463.2817389965,-2143463.2817389965
316,-2143463.2817389965,-2143463.2817389965
317,-2143463.2817389965,-2143463.2817389965
318,-2143463.2817389965,-2143463.2817389965
319,-2143463.2817389965,-2143463.2817389965
320,-2143463.2817389965,-2143463.2817389965
321,-2143463.2817389965,-2143463.2817389965
322,-2143463.2817389965,-2143463.2817389965
323,-2143463.2817389965,-2143463.2817389965
324,-2143463.2817389965,-2143463.2817389965
325,-2143463.2817389965,-2143463.2817389965
326,-4544979.622261107,-2143463.2817389965
327,-2143463.2817389965,-2143463.2817389965
328,-2143463.2817389965,-2143463.2817389965
329,-2143463.2817389965,-2143463.2817389965
330,-2143463.2817389965,-2143463.2817389965
331,-2143463.2817389965,-2143463.2817389965
332,-2143463.2817389965,-2143463.2817389965
333,-2112960.3666135073,-1533404.9792292118
334,-9010605.320160687,-1533404.9792292118
335,-2082457.451488018,-1533404.9792292118
336,-2035245.937519908,-1199233.0023767948
337,-1961648.5743404627,-1199233.0023767948
338,-7758440.630538642,-1199233.0023767948
339,-1826990.2062737942,-1199233.0023767948
340,-1587646.53513968,-1199233.0023767948
341,-1378103.8120868206,-1199233.0023767948
342,-1258572.9970685244,-1165109.108333826
343,-1211314.0989388227,-1165109.108333826
344,-1195820.612972498,-1165109.108333826
345,-1194484.853267908,-1165109.108333826
346,-1189366.2691614628,-1165109.108333826
347,-1189961.1588709354,-1165109.108333826
348,-1179129.1009485722,-1165109.108333826
349,-1170003.2377283573,-1165109.108333826
350,-1166815.3030359745,-1165109.108333826
